lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source
L1098,Attic Rail,store,Vintage & retro fashion,@atticrail,19616,,,atticrail.shop,info@atticrail.com,,,112 Union St,Glasgow,Glasgow,UK,55.85359,-4.26173,1920,CONTACTED,2026-04-11,,"Reworked vintage and archive designer pieces | Left a voicemail, no callback yet.",Referral
L1105,Foundry Archive,physical,Vintage boutique,@foundryarchive,27032,,,foundryarchive.com,info@foundryarchive.com,+33 672151070,,44 Broadway,Paris,"Le Marais, Paris",France,48.86672,2.35748,6501,churned,2026-06-22,15 Dec,"Curated vintage womenswear, Levi's & band tees | ",Market visit
L1067,Analog Room,,Vintage & retro fashion,,,,,analogroom.shop,info@analogroom.com,+44 7345401938,Jack Okafor,45 Broadway,Brighton,"North Laine, Brighton",UK,50.83517,-0.14778,2281,1st touch sent,10 May,,"Vintage workwear, military surplus, carhartt",Market visit
L1001,Faded & Sons,,Consignment store,@fadedandsons,1269,,,fadedandsons.co.uk,info@fadedandsons.com,+44 7379402654,Sofia Klein,87 Market St,London,"Shoreditch, London",UK,51.51423,-0.08168,4064,quote sent,21/04/2026,,"Vintage workwear, military surplus, carhartt",Referral
L1002,Second & Sons,store,Retro clothing shop,@secondandsons,2679,,,secondandsons.com,info@secondandsons.com,+44 7316475255,,54 Mill Lane,London,"Shoreditch, London",UK,51.52884,-0.06759,6770,dormant,26/06/2026,2026/01/14,"Curated vintage womenswear, Levi's & band tees | ",BDR
L1039,Echo Collective,store,Used clothing store,,,,,echocollective.com,,+44 7950240268,,30 Market St,London,"Peckham, London",UK,51.47343,-0.06233,2931,contacted,2026-06-15,,Reworked vintage and archive designer pieces,Google Maps scrape
L1020,Cedar Exchange,store,Vintage boutique,@cedarexchange,24944,,,,info@cedarexchange.com,,Marco Green,18 High St,London,"Brick Lane, London",UK,51.5271,-0.06071,5229,1st touch sent,2026-04-23,,Retro football shirts & vintage sportswear | Owner mentioned they already buy from a Pakistan supplier.,Referral
L1152,stockfinds96,depop,,@stockfinds96,3282,209,9%,,,,,,,,,,,2079,Negotiating,25/06/2026,,"IG shop, DMs open",Depop scrape
L1053,Flea & Co,store,Antiques & collectibles,@fleaandco,2613,,,,info@fleaandco.com,+44 7319520585,Theo Nowak,176 Kingsland Rd,London,"Notting Hill, London",UK,51.52054,-0.19652,1382,not contacted,,,"Reclaimed furniture and home restoration | Tried us in 2023, wasn't happy with the sizing mix.",Google Maps scrape
L1047,Second Room,shop,Used clothing store,@secondroom,1744,,,,info@secondroom.com,+44 7597820715,,22 Cheshire St,London,"Dalston, London",UK,51.54951,-0.08606,5518,no fit,2026/05/05,,"Y2K, grunge and reworked one-off pieces",Market visit
L1079,Reloved Supply,,Antiques & collectibles,,,,,,info@relovedsupply.com,,,39 Union St,Manchester,"Northern Quarter, Manchester",UK,53.47661,-2.23537,1685,CONTACTED,2026-06-18,,Charity shop — all proceeds to local causes,Inbound
L1140,stockroom69,,,@stockroom69,7777,81,29%,,,,,,,,,,,2224,not contacted,,,"Whatnot seller, live sales",Depop scrape
L1023,Faded Finds,physical,Consignment store,,,,,fadedfinds.com,,+44 7678377701,Grace Diallo,104 Union St,London,"Brick Lane, London",UK,51.51635,-0.06954,1559,NEW,,,"Reworked vintage and archive designer pieces | Met at a market, said to drop by the shop.",Inbound
L1157,archiveco79,,,@archiveco79,56653,141,59%,,archiveco79@gmail.com,,,,,,,,,1417,closed - won,22 Apr,2026-05-28,"IG shop, DMs open",Depop scrape
L1124,Attic Garments,physical,Consignment store,@atticgarments,6644,,,atticgarments.shop,info@atticgarments.com,+33 603354216,Karim Cole,79 Church Rd,New York,"Williamsburg, New York",USA,40.70457,-73.9709,5294,new - inbound,,,Hand-picked vintage from the 60s to the 90s,Market visit
L1089,Revival Trading Co,,Used clothing store,@revivaltradingco,11933,,,revivaltradingco.com,,+44 7499125134,Priya Nowak,96 Church Rd,Bristol,"Stokes Croft, Bristol",UK,51.46526,-2.59196,1250,no fit,15 Mar,,"Vintage workwear, military surplus, carhartt | Price-sensitive, compares to local wholesalers.",Market visit
L1158,studiofinds26,depop,,@studiofinds26,9202,1372,20%,,,,,,,,,,,200,trial pending,June 19 2026,,,Depop scrape
L1189,retroco74,IG,,@retroco74,16191,525,60%,,,,,,,,,,,1337,new lead,,,"Whatnot seller, live sales",Whatnot
L1112,Time Warp Exchange,physical,Vintage boutique,@timewarpexchange,16218,,,timewarpexchange.co.uk,info@timewarpexchan.com,,Theo Nowak,156 Broadway,Berlin,"Kreuzberg, Berlin",Germany,52.49077,13.39343,588,New,,,Hand-picked vintage from the 60s to the 90s | Keen but wants to see the app before committing.,Market visit
L1117,Attic Room,shop,Consignment store,@atticroom,16509,,,atticroom.com,,+33 647546913,,114 Union St,Amsterdam,Amsterdam,Netherlands,52.37752,4.90187,2547,In conversation,2026-03-14,,"Vintage streetwear — Nike, Adidas, Ralph | Met at a market, said to drop by the shop.",Inbound
L1046,Loop Apparel,,Used clothing store,@loopapparel,21879,,,loopapparel.co.uk,info@loopapparel.com,+44 7997995527,Tom Meyer,114 Mill Lane,London,"Dalston, London",UK,51.55311,-0.07281,1787,negotiating,22/06/2026,,"Vintage streetwear — Nike, Adidas, Ralph | Heard of Fleek, thinks it's 'for small resellers'.",Inbound
L1035,Attic Wardrobe,physical,Vintage clothing store,@atticwardrobe,8612,,,atticwardrobe.shop,,+44 7047095214,,84 Broadway,London,"Camden, London",UK,51.53122,-0.15143,5639,lost,06/04/2026,,80s/90s denim & sportswear specialist,Inbound
L1154,grailfinds46,depop,,@grailfinds46,40551,207,23%,,,,,,,,,,,413,Churned,6 May,2025-11-24,"Fast seller, good margins",Vinted scrape
L1180,eraroom21,depop,,@eraroom21,53284,1157,44%,,,,,,,,,,,1057,new - inbound,,,,Depop scrape
L1192,depoprail23,,,@depoprail23,21486,47,5%,,,,,,,,,,,422,Contacted,06/04/2026,,"Fast seller, good margins",Depop scrape
L1139,stockpicks87,depop,,@stockpicks87,47353,266,53%,,,,,,,,,,,783,new lead,,,,Instagram
L1120,Mercer Society,store,Record store,@mercersociety,22104,,,mercersociety.shop,info@mercersociety.com,+33 699441715,,71 The Parade,New York,"Williamsburg, New York",USA,40.72368,-73.96573,3087,not contacted,,,Charity shop — all proceeds to local causes,Instagram
L1171,reworkeddrip77,depop,,@reworkeddrip77,62879,205,18%,,,,,,,,,,,200,Churned,01/05/2026,8 Jan,,Vinted scrape
L1084,Analog Corner,physical,Antiques & collectibles,@analogcorner,14198,,,analogcorner.co.uk,info@analogcorner.com,+44 7437993712,,78 High St,Manchester,"Northern Quarter, Manchester",UK,53.49477,-2.24003,491,negotiating,24 May,,"Records, vinyl & memorabilia",Inbound
L1092,Retrograde Corner,shop,Record store,,,,,retrogradecorner.co.uk,info@retrogradecorn.com,,Amara Marsh,168 Church Rd,Leeds,Leeds,UK,53.80453,-1.55802,664,emailed,2026-04-27,,"Reclaimed furniture and home restoration | Second shop opening soon, wants volume.",BDR
L1009,Cedar Wardrobe,physical,Retro clothing shop,@cedarwardrobe,24909,,,cedarwardrobe.shop,info@cedarwardrobe.com,+44 7788208121,,153 Market St,London,"Shoreditch, London",UK,51.52821,-0.07836,405,stopped buying,2026-05-22,18 Aug,"Y2K, grunge and reworked one-off pieces | Instagram DMs open, email bounced.",BDR
L1008,Foundry & Sons,store,Vintage clothing store,@foundryandsons,6412,,,foundryandsons.co.uk,,+44 7317810801,Noor Diallo,43 Broadway,London,"Shoreditch, London",UK,51.52366,-0.07887,5326,NEW,,,"Curated vintage womenswear, Levi's & band tees | Owner mentioned they already buy from a Pakistan supplier.",BDR
L1044,Relic Vault,store,Vintage & retro fashion,@relicvault,7321,,,relicvault.co.uk,info@relicvault.com,+44 7510762268,,59 Cheshire St,London,"Peckham, London",UK,51.47541,-0.06497,4040,In conversation,25/03/2026,,"Retro football shirts & vintage sportswear | Price-sensitive, compares to local wholesalers.",Instagram
L1194,Attic Finds,store,Second-hand shop,@atticfinds,16392,,,,info@atticfinds.com,+44 7901751863,,110 Union St,Leeds,Leeds,UK,53.79957,-1.55345,1271,1st touch sent,27/05/2026,,"Y2K, grunge and reworked one-off pieces | Met at a market, said to drop by the shop.",Referral
L1034,Analog Finds,,Charity shop,@analogfinds,18310,,,analogfinds.co.uk,info@analogfinds.com,+44 7946474367,,28 Union St,London,"Camden, London",UK,51.53615,-0.14598,893,In conversation,2026-06-11,,"Records, vinyl & memorabilia | ",Inbound
L1197,Homestead Collectibles,,Antique store,@homesteadcollectibles,16584,,,,,,Sam Marsh,50 Market St,Brighton,"North Laine, Brighton",UK,50.82194,-0.13445,889,not interested,May 29 2026,,Antique furniture & mid-century homeware,Instagram
L1191,sourcedvault98,,,@sourcedvault98,9204,140,38%,,,,,,,,,,,1712,lost,2026-04-23,,,Whatnot
L1073,Nomad Denim,,Thrift store,@nomaddenim,22033,,,,info@nomaddenim.com,+44 7903311907,,154 High St,Brighton,"North Laine, Brighton",UK,50.81987,-0.15094,300,NEW,,,"Hand-picked vintage from the 60s to the 90s | Met at a market, said to drop by the shop.",BDR
L1064,Faded Trading Co,,Used clothing store,@fadedtradingco,7856,,,,info@fadedtradingco.com,+44 7728962309,,180 Market St,London,"Soho, London",UK,51.50638,-0.13542,2300,stopped buying,2026-03-31,2025-11-17,"Curated vintage womenswear, Levi's & band tees | Price-sensitive, compares to local wholesalers.",Instagram
L1202,WILDER GOODS,,Used clothing store,,,,,wildergoods.com,info@wildergoods.com,,Ellie Rossi,167 Mill Lane,Leeds,Leeds,UK,53.79152,-1.53881,1242,sent pricing,2026/05/08,,80s/90s denim & sportswear specialist | ,Inbound
L1080,Dusty Shelves Antiques,physical,Homeware store,@dustyshelvesantiques,1438,,,,info@dustyshelvesan.com,,Oscar Weber,97 Cheshire St,Manchester,"Northern Quarter, Manchester",UK,53.48342,-2.23272,1040,new lead,,,Reclaimed furniture and home restoration,Google Maps scrape
L1100,Heirloom Apparel,shop,Vintage clothing store,@heirloomapparel,5317,,,heirloomapparel.com,info@heirloomappare.com,,Freya Green,108 Union St,Glasgow,Glasgow,UK,55.85992,-4.25381,3363,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Inbound
L1165,grailroom62,,,@grailroom62,15987,158,21%,,,,,,,,,,,1218,Churned,2026/06/05,3 Dec,"Fast seller, good margins",Instagram
L1040,Curated Racks,store,Vintage clothing store,@curatedracks,14934,,,,info@curatedracks.com,+44 7921249985,Oscar Dubois,136 Mill Lane,London,"Peckham, London",UK,51.47289,-0.06647,607,Contacted,2026-06-22,,"Y2K, grunge and reworked one-off pieces | ",Google Maps scrape
L1159,thepicks63,,,@thepicks63,10787,1188,41%,,,,,,,,,,,882,emailed,08/05/2026,,Sells on Depop + Vinted,Whatnot
L1068,Homestead Collectibles,,Antique store,@homesteadcollectibles,16584,,,,info@homesteadcolle.com,,Sam Marsh,50 Market St,Brighton,"North Laine, Brighton",UK,50.82194,-0.13445,889,emailed,10/03/2026,,Antique furniture & mid-century homeware,Instagram
L1174,eraera65,IG,,@eraera65,59912,1265,39%,,,,,,,,,,,1727,Negotiating,1 Jul,,,Instagram
L1022,Time Warp Depot,shop,Thrift store,@timewarpdepot,23577,,,timewarpdepot.co.uk,,+44 7284987769,,69 The Parade,London,"Brick Lane, London",UK,51.52944,-0.06356,3707,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph | Left a voicemail, no callback yet.",BDR
L1135,deadco25,IG,,@deadco25,47775,722,11%,,,,,,,,,,,1412,not contacted,,,,Depop scrape
L1175,retrothreads90,,,@retrothreads90,52544,810,27%,,,,,,,,,,,200,replied,2026-04-19,,"Fast seller, good margins",Vinted scrape
L1007,Marlowe Denim,physical,Vintage clothing store,@marlowedenim,1429,,,marlowedenim.shop,info@marlowedenim.com,+44 7347382997,,63 Kingsland Rd,London,"Shoreditch, London",UK,51.53138,-0.07943,3801,replied,March 13 2026,,"Vintage workwear, military surplus, carhartt | Price-sensitive, compares to local wholesalers.",Inbound
L1014,Foundry Trading Co,,Used clothing store,@foundrytradingco,17092,,,,info@foundrytrading.com,+44 7850142940,Priya Dubois,112 The Parade,London,"Shoreditch, London",UK,51.52949,-0.07647,405,new lead,,,"Vintage workwear, military surplus, carhartt",Referral
L1141,stockthreads26,depop,,@stockthreads26,10396,157,49%,,,,,,,,,,,1530,new lead,,,,Depop scrape
L1122,Kestrel Store,,Used clothing store,,,,,kestrelstore.co.uk,info@kestrelstore.com,+33 671709991,,121 Union St,New York,"Williamsburg, New York",USA,40.71501,-73.95118,435,lapsed,May 15 2026,2025-08-20,Reworked vintage and archive designer pieces | Busy on weekends — visit midweek.,Market visit
L1017,Loop Studio,,Retro clothing shop,@loopstudio,18665,,,,,+44 7278895798,,110 Cheshire St,London,"Brick Lane, London",UK,51.5197,-0.07968,2489,Negotiating,2026-05-31,,Retro football shirts & vintage sportswear,Market visit
L1025,Wilder Archive,shop,Antique store,@wilderarchive,19307,,,wilderarchive.com,info@wilderarchive.com,,Louis Cole,78 Market St,London,"Camden, London",UK,51.55085,-0.15176,1072,Contacted,2026-04-12,,Reclaimed furniture and home restoration,Referral
L1027,Heirloom Goods,,Thrift store,@heirloomgoods,19051,,,heirloomgoods.com,,+44 7746488771,Mila Okafor,111 The Parade,London,"Camden, London",UK,51.54149,-0.15398,1107,meeting set,March 6 2026,,"Vintage workwear, military surplus, carhartt | ",Referral
L1193,ANALOG CORNER,physical,Antiques & collectibles,@analogcorner,14198,,,analogcorner.co.uk,,+44 7437993712,,78 High St,Manchester,"Northern Quarter, Manchester",UK,53.49477,-2.24003,491,trial pending,9 Jun,,"Records, vinyl & memorabilia",Inbound
L1185,retrosupply29,,,@retrosupply29,38477,39,21%,,,,,,,,,,,1885,replied,2026-04-21,,,Whatnot
L1054,Foundry Room,store,Consignment store,@foundryroom,15912,,,foundryroom.com,,+44 7345054156,Oscar Novak,99 The Parade,London,"Notting Hill, London",UK,51.52037,-0.19609,990,new lead,,,"Vintage workwear, military surplus, carhartt | Met at a market, said to drop by the shop.",Inbound
L1205,Foundry Room,store,Consignment store,@foundryroom,15912,,,foundryroom.com,,+44 7345054156,Oscar Novak,99 The Parade,London,"Notting Hill, London",UK,51.52037,-0.19609,990,visiting,03/06/2026,,"Vintage workwear, military surplus, carhartt | Met at a market, said to drop by the shop.",Inbound
L1065,Pinegrove Apparel,,Vintage & retro fashion,@pinegroveapparel,6074,,,pinegroveapparel.shop,info@pinegroveappar.com,+44 7585497334,,143 Mill Lane,London,"Soho, London",UK,51.5072,-0.12265,4737,new lead,,,Retro football shirts & vintage sportswear | Busy on weekends — visit midweek.,Instagram
L1170,archivegoods76,,,@archivegoods76,10424,144,15%,,archivegoods76@gmail.com,,,,,,,,,1917,new - inbound,,,"IG shop, DMs open",Vinted scrape
L1061,The Costume Trunk,,Flea market,@thecostumetrunk,12987,,,thecostumetrunk.co.uk,info@thecostumetrun.com,+44 7325953278,Sam Meyer,79 Kingsland Rd,London,"Soho, London",UK,51.50236,-0.12331,1196,new lead,,,"Records, vinyl & memorabilia",BDR
L1033,Static Loft,shop,Retro clothing shop,@staticloft,28992,,,staticloft.shop,,+44 7400504556,Sofia Diallo,136 Broadway,London,"Camden, London",UK,51.54058,-0.13558,2145,sent pricing,19 Jun,,"80s/90s denim & sportswear specialist | Heard of Fleek, thinks it's 'for small resellers'.",Referral
L1006,Wilder Threads,shop,Furniture store,@wilderthreads,27139,,,wilderthreads.com,info@wilderthreads.com,+44 7782489638,,177 Union St,London,"Shoreditch, London",UK,51.52911,-0.07442,670,lost,2026/06/23,,Fancy dress & theatrical costume hire,Inbound
L1048,Worn Trading Co,store,Used clothing store,@worntradingco,18683,,,worntradingco.co.uk,info@worntradingco.com,+44 7925192546,,34 Market St,London,"Dalston, London",UK,51.54143,-0.07796,4189,CONTACTED,6 Apr,,"Y2K, grunge and reworked one-off pieces",BDR
L1043,Dusty Corner,,Retro clothing shop,@dustycorner,25855,,,dustycorner.shop,info@dustycorner.com,+44 7102290147,Rosa Frost,125 Kingsland Rd,London,"Peckham, London",UK,51.47194,-0.07583,3738,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Inbound
L1106,Echo Emporium,physical,Used clothing store,@echoemporium,18444,,,echoemporium.co.uk,info@echoemporium.com,+33 662638380,Oscar Haddad,123 Cheshire St,Paris,"Le Marais, Paris",France,48.86575,2.35626,3374,contacted,2026-05-01,,"Y2K, grunge and reworked one-off pieces",Inbound
L1116,Attic Supply,,Used clothing store,@atticsupply,5256,,,atticsupply.com,,+33 619148564,,99 Kingsland Rd,Amsterdam,Amsterdam,Netherlands,52.36933,4.90345,4547,Replied,2026/04/20,,"Y2K, grunge and reworked one-off pieces | Price-sensitive, compares to local wholesalers.",BDR
L1134,thriftedpicks46,depop,,@thriftedpicks46,46812,247,7%,,,,,,,,,,,938,won,10 Jun,24 Jun,Sells on Depop + Vinted,Whatnot
L1151,archiveera69,IG,,@archiveera69,57485,898,58%,,,,,,,,,,,2288,New,,,,Instagram
L1093,Attic Finds,store,Second-hand shop,@atticfinds,16392,,,,info@atticfinds.com,+44 7901751863,,110 Union St,Leeds,Leeds,UK,53.79957,-1.55345,1271,New,,,"Y2K, grunge and reworked one-off pieces | Met at a market, said to drop by the shop.",Referral
L1114,Second Wardrobe,,Retro clothing shop,@secondwardrobe,26882,,,secondwardrobe.com,info@secondwardrobe.com,+33 680686879,,61 Kingsland Rd,Berlin,"Kreuzberg, Berlin",Germany,52.49417,13.40048,3077,CONTACTED,23 Apr,,Retro football shirts & vintage sportswear,Google Maps scrape
L1070,Pinegrove Studio,,Used clothing store,@pinegrovestudio,20248,,,pinegrovestudio.co.uk,info@pinegrovestudi.com,+44 7833918785,,20 Market St,Brighton,"North Laine, Brighton",UK,50.81548,-0.13886,5236,meeting set,15 May,,"Curated vintage womenswear, Levi's & band tees",Referral
L1102,Bygone Threads,shop,Vintage boutique,@bygonethreads,3806,,,,,+33 667024103,,134 Broadway,Paris,"Le Marais, Paris",France,48.86382,2.35694,5257,Visit booked,2026/06/05,,"Vintage streetwear — Nike, Adidas, Ralph",Google Maps scrape
L1166,thriftedthreads84,depop,,@thriftedthreads84,55514,569,42%,,,,,,,,,,,1594,emailed,2026/04/23,,"Whatnot seller, live sales",Instagram
L1155,reworkedco18,IG,,@reworkedco18,20333,1356,28%,,,,,,,,,,,1529,quote sent,21/04/2026,,Sells on Depop + Vinted,Depop scrape
L1069,Ragged Goods,store,Used clothing store,@raggedgoods,11003,,,raggedgoods.co.uk,info@raggedgoods.com,+44 7374549904,,168 The Parade,Brighton,"North Laine, Brighton",UK,50.83063,-0.15051,3932,not interested,2026-05-31,,"Vintage workwear, military surplus, carhartt | Busy on weekends — visit midweek.",BDR
L1182,deadthreads93,,,@deadthreads93,19574,1253,8%,,,,,,,,,,,1769,1st touch sent,9 Jun,,"Fast seller, good margins",Depop scrape
L1075,Bygone Garments,shop,Vintage boutique,@bygonegarments,14048,,,,info@bygonegarments.com,+44 7634351751,,138 Union St,Brighton,"North Laine, Brighton",UK,50.81524,-0.14295,806,replied,2026/04/21,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape
L1168,reworkedvault57,depop,,@reworkedvault57,14661,337,16%,,,,,,,,,,,2325,New,,,"Whatnot seller, live sales",Whatnot
L1082,Golden Era Goods,store,Vintage clothing store,@goldeneragoods,25747,,,goldeneragoods.com,info@goldeneragoods.com,+44 7477358662,,175 Broadway,Manchester,"Northern Quarter, Manchester",UK,53.47406,-2.23315,507,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph",Instagram
L1081,Mercer Loft,,Used clothing store,,,,,,info@mercerloft.com,+44 7025039261,Grace Nowak,145 Union St,Manchester,"Northern Quarter, Manchester",UK,53.4856,-2.22761,4992,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Referral
L1059,Nomad Emporium,physical,Charity shop,@nomademporium,10322,,,nomademporium.shop,,+44 7299229959,,11 High St,London,"Notting Hill, London",UK,51.49895,-0.18523,1648,stopped buying,2026/04/14,June 19 2025,Fancy dress & theatrical costume hire,Inbound
L1088,Nomad Room,,Vintage clothing store,@nomadroom,5647,,,nomadroom.co.uk,info@nomadroom.com,+44 7362266093,,116 Broadway,Bristol,"Stokes Croft, Bristol",UK,51.46233,-2.58509,3732,Closed Lost,2026/05/20,,80s/90s denim & sportswear specialist | ,Google Maps scrape
L1042,Relic Racks,physical,Used clothing store,@relicracks,12444,,,relicracks.co.uk,info@relicracks.com,+44 7936899809,Rosa Marsh,8 Church Rd,London,"Peckham, London",UK,51.46856,-0.0627,1199,new - inbound,,,"Vintage streetwear — Nike, Adidas, Ralph",Inbound
L1021,Golden Era Finds,physical,Vintage clothing store,,,,,,info@goldenerafinds.com,+44 7496631931,Ellie Lopez,176 Market St,London,"Brick Lane, London",UK,51.52811,-0.06992,1915,emailed,2026/06/18,,"Vintage workwear, military surplus, carhartt | Met at a market, said to drop by the shop.",Market visit
L1019,Cedar Finds,physical,Antique store,@cedarfinds,9343,,,,info@cedarfinds.com,+44 7656272980,,101 High St,London,"Brick Lane, London",UK,51.51101,-0.07321,1118,not interested,7 May,,Fancy dress & theatrical costume hire,BDR
